Population	#SNPs	GD1	GD2	GD3	EA1	EA2	EA3	EA4	AF1	AF2	AF3	EU1	EU2	EU3	SA1	SA2	IC1	IC2	IC3
TGP-BEB	282424	1.5470	1.2624	-0.0022	1.7643	-1.3167	0.4967	1.6918	2.7359	2.0073	4.0505	0.5746	-0.0499	0.0019	0.3414	0.2718	1.0391	0.3947	2.4691
TGP-CDX	282424	1.7003	1.1015	0.0045	0.3202	-0.8118	-0.0885	-0.9758	2.5826	1.8367	3.5939	0.7211	1.1584	0.5242	3.4899	0.1836	0.1225	1.7033	3.1395
TGP-CEU	282424	1.4751	1.4385	0.0024	2.5441	-2.3606	0.9323	2.7200	3.4896	2.7402	5.4069	-0.7130	-0.8320	-0.5387	1.0557	1.8613	-0.0933	-0.6564	-0.9738
TGP-CHB	282424	1.7052	1.1019	0.0034	-0.7837	-0.7254	-0.8584	-0.8953	2.6287	1.8764	3.6224	0.6642	1.2812	0.6119	3.5618	0.2297	0.0103	1.7869	3.2160
TGP-CHS	282424	1.7072	1.0978	0.0030	-0.4559	-0.7538	-0.5740	-1.0072	2.6112	1.8625	3.5955	0.6894	1.2577	0.5850	3.5598	0.1977	0.0434	1.7777	3.2060
TGP-CLM	282424	1.4954	1.3574	0.0074	1.9273	-1.8811	0.5992	2.1328	3.1637	2.4343	4.7077	0.0743	-0.4290	-0.5645	1.4155	1.4622	-0.7111	0.5623	0.0254
TGP-ESN	282424	1.0735	1.0982	0.0045	2.9125	-2.0995	1.3072	2.8366	-0.9428	-0.9752	0.0650	3.2062	-0.4171	-1.5864	0.5726	0.4995	-0.2730	2.7413	1.1478
TGP-FIN	282424	1.4966	1.4158	0.0021	2.2497	-2.1547	0.7699	2.4556	3.4727	2.7320	5.3544	-0.9666	0.6232	0.5783	1.3714	1.7258	-0.1086	-0.3616	-0.5733
TGP-GBR	282424	1.4760	1.4388	0.0023	2.5456	-2.3505	0.9324	2.7052	3.4826	2.7291	5.4173	-0.7885	-0.8793	-0.5642	1.0628	1.8641	-0.0894	-0.6563	-0.9718
TGP-GIH	282424	1.5202	1.2961	0.0046	2.0556	-1.4885	0.6551	2.0391	2.8066	2.0395	4.1555	0.5935	-0.2839	-0.1016	-0.2787	-0.3728	1.1871	0.1009	2.4176
TGP-GWD	282424	1.0855	1.1072	0.0065	2.9053	-2.0934	1.2970	2.8238	-0.6512	0.3651	0.1888	3.1777	-0.4379	-1.6245	0.5658	0.5238	-0.2649	2.6695	1.0892
TGP-IBS	282424	1.4608	1.4295	0.0039	2.5974	-2.3560	0.9844	2.7432	3.3194	2.6105	5.1623	0.0729	-1.0171	-1.1525	0.9004	1.8365	-0.1328	-0.7108	-1.1937
TGP-ITU	282424	1.5251	1.2818	0.0078	2.0004	-1.3869	0.6339	1.9372	2.7286	1.9843	4.0301	0.7286	-0.2296	-0.1396	-0.5660	0.2696	1.2210	0.2048	2.5669
TGP-JPT	282424	1.7026	1.1027	0.0050	-0.7994	0.7844	-0.8193	-0.8642	2.6022	1.8786	3.6111	0.6741	1.3282	0.6156	3.3750	0.2022	-0.0110	1.8260	3.2176
TGP-KHV	282424	1.6978	1.1042	0.0017	0.2316	-0.7995	-0.1500	-0.9404	2.5869	1.8529	3.6060	0.6973	1.1366	0.5166	3.4281	0.1896	0.1305	1.6849	3.1340
TGP-LWK	282424	1.0989	1.1116	0.0031	2.8741	-2.0781	1.2749	2.7930	0.3459	-0.3625	-0.5886	3.1312	-0.4478	-1.5812	0.5594	0.5608	-0.2275	2.5362	1.1422
TGP-MSL	282424	1.0772	1.1005	0.0058	2.9044	-2.0935	1.3088	2.8298	-0.7024	0.5181	0.1374	3.1994	-0.4178	-1.5924	0.5852	0.5028	-0.2705	2.7327	1.1427
TGP-MXL	282424	1.5321	1.3091	0.0144	1.3677	-1.4980	0.2869	1.6156	3.1237	2.3739	4.4882	-0.0481	0.0328	-0.0752	1.8442	1.2008	.	1.4251	0.9316
TGP-PEL	282424	1.5912	1.2719	0.0539	0.6429	-1.0340	-0.1376	0.9826	3.2719	2.4537	4.4159	-0.4268	0.6335	0.6365	2.4706	0.9146	-1.7461	2.6394	2.0122
TGP-PJL	282424	1.5159	1.3091	0.0069	2.0748	-1.5764	0.6554	2.0702	2.8626	2.1403	4.2646	0.5010	-0.3335	-0.1221	-0.1260	0.6379	1.0170	0.0437	2.1840
TGP-PUR	282424	1.4434	1.3555	-0.0050	2.2710	-2.0772	0.8126	2.4269	2.8301	2.2484	4.4083	0.4292	-0.6586	-0.8936	1.1185	1.5163	-0.4169	.	-0.2999
TGP-STU	282424	1.5260	1.2786	0.0089	1.9725	-1.3487	0.6287	1.9054	2.7054	1.9826	4.0051	0.7318	-0.2062	-0.1371	-0.8584	0.2632	1.2126	0.2377	2.5576
TGP-TSI	282424	1.4629	1.4289	0.0060	2.6038	-2.3711	0.9718	2.7450	3.3507	2.6008	5.1152	0.5038	-1.0219	-1.1252	0.7451	1.8472	-0.0312	-0.9027	-0.9365
TGP-YRI	282424	1.0738	1.0983	0.0039	2.9123	-2.1056	1.3058	2.8357	-0.9434	-0.6252	0.0894	3.2173	-0.4253	-1.5937	0.5790	0.4972	-0.2753	2.7362	1.1376
