Population	#SNPs	GD1	GD2	GD3	EA1	EA2	EA3	EA4	AF1	AF2	AF3	EU1	EU2	EU3	SA1	SA2	IC1	IC2	IC3
Malaysia	280254	1.7055	1.0984	-0.0009	-0.3215	-0.7581	-0.4664	-1.0115	2.5880	1.8526	3.6060	0.6757	1.2018	0.5467	3.5084	0.2100	0.0560	1.7401	3.1538
Mauritius	280432	1.5303	1.2767	-0.0020	1.9433	-1.3646	0.6092	1.8925	2.7304	2.0061	4.0621	0.5838	-0.1827	-0.0808	-0.1752	0.2769	1.1305	0.2645	2.3800
Mexico	280168	1.5247	1.3210	0.0087	1.5030	-1.5871	0.3616	1.7365	3.1291	2.4020	4.5600	-0.0595	-0.0903	-0.1788	1.7450	1.2818	-0.9771	1.1747	0.6872
Mongolia	280041	1.6645	1.1531	-0.0027	-0.4489	-0.5359	-0.7741	-0.1001	2.7628	2.0171	3.8438	0.4130	1.1838	0.6302	3.0006	0.4722	-0.0590	1.5368	2.8229
Morocco	280511	1.3668	1.3376	-0.0072	2.6828	-2.2666	1.0779	2.7492	2.0499	1.7966	3.6226	1.8288	-0.9956	-1.7705	0.6172	1.5098	-0.1485	-0.0953	-0.6595
Mozambique	280032	1.2363	1.2143	-0.0206	2.7554	-2.1352	1.1581	2.7570	1.5293	0.7733	1.7947	2.0102	-0.6310	-1.3358	0.6242	0.9681	-0.1347	1.3700	0.4567
Nepal	280438	1.6685	1.1324	0.0029	-0.4895	-0.8286	-0.8605	.	2.5832	1.8423	3.6400	0.6405	1.0289	0.4822	2.9758	0.2159	0.2215	1.5478	3.0488
Netherlands	279643	1.4761	1.4368	-0.0003	2.5377	-2.3470	0.9291	2.6943	3.4606	2.7296	5.4048	-0.7029	-0.7799	-0.4791	1.0534	1.8638	-0.0806	-0.6693	-0.9559
New Zealand	279656	1.4764	1.4366	-0.0004	2.5332	-2.3481	0.9274	2.6944	3.4608	2.7272	5.4051	-0.7979	-0.8843	-0.5648	1.0601	1.8651	-0.0884	-0.6471	-0.9575
Nigeria	280334	1.0766	1.0979	0.0002	2.8922	-2.0934	1.2921	2.8125	.	.	0.0881	3.1675	-0.4325	-1.5786	0.5724	0.5221	-0.2657	2.7048	1.1340
Norway	280090	1.4796	1.4355	-0.0001	2.4938	-2.3291	0.9028	2.6694	3.4713	2.7387	5.4268	-0.8628	-0.6574	-0.3144	1.1117	1.8495	-0.0903	-0.6155	-0.9107
Pakistan	280464	1.5052	1.3311	0.0070	2.1636	-1.7479	0.6931	2.2000	2.9586	2.2155	4.4110	0.4574	-0.4483	-0.1687	-0.0406	.	0.8947	-0.1351	1.9945
Palestine	280464	1.4327	1.3855	0.0049	2.6227	-2.2815	0.9785	2.6861	2.8994	2.1987	4.3444	1.6275	-1.0377	-1.3832	0.3271	1.6959	0.1579	-0.7898	-0.0281
Peru	280342	1.5526	1.3097	0.0240	1.2153	-1.4336	0.1960	1.4764	3.2337	2.4492	4.5901	-0.2444	0.1459	0.1273	1.9783	1.1728	-1.2384	1.6102	1.0965
Philippines	280382	1.6850	1.1134	0.0010	0.2982	-0.7124	.	-0.8573	2.5375	1.8296	3.6153	0.7014	1.0406	0.4261	3.1171	0.2156	0.1552	1.5977	2.9850
Poland	279599	1.4794	1.4308	0.0003	2.4797	-2.3088	0.8975	2.6460	3.4434	2.7057	5.3624	-0.6676	-0.4974	.	1.0994	1.8408	-0.0633	-0.6256	-0.8286
Portugal	279684	1.4545	1.4198	-0.0005	2.5948	-2.3436	0.9841	2.7330	3.2010	2.5276	5.0347	0.1688	-0.9966	-1.1488	0.8969	1.8059	-0.1240	-0.6530	-1.1141
Romania	279582	1.4744	1.4220	-0.0003	2.4883	-2.3128	0.9037	2.6352	3.3701	2.6314	5.1822	0.0376	-0.7292	-0.1811	0.9185	1.8217	-0.0227	-0.7538	-0.7348
Russia	280194	1.4882	1.4185	-0.0011	2.3454	-2.2128	0.8215	2.5285	3.4228	2.6897	5.3162	-0.6869	-0.2877	0.8982	1.1953	1.7850	-0.0617	-0.5082	-0.6161
Rwanda	280173	1.1173	1.1237	-0.0033	2.8303	-2.0740	1.2505	2.7722	0.3803	-0.2741	-0.2483	3.0569	-0.4930	-1.5819	0.5611	0.6382	-0.2153	2.3306	1.0373
Senegal	280892	1.0947	1.1103	0.0015	2.8736	-2.0628	1.2742	2.8170	-0.6144	0.3632	0.2590	3.1068	-0.4339	-1.5753	0.5522	0.5334	-0.2467	2.6000	1.0612
Serbia	280137	1.4723	1.4283	0.0024	2.5372	-2.3362	0.9349	2.6801	3.3985	2.6432	5.2307	-0.0017	-0.7347	-0.0877	0.9041	1.8487	-0.0346	-0.7860	-0.8397
Sierra Leone	280242	1.0808	1.1011	0.0012	2.8867	-2.0882	1.2956	2.8104	-0.6980	0.4747	0.1656	3.1411	-0.4352	-1.5812	0.5655	0.5297	-0.2612	2.6881	1.1222
Singapore	280229	1.7058	1.0978	-0.0026	-0.3109	-0.7557	-0.4569	-1.0094	2.5834	1.8563	3.6087	0.6766	1.2014	0.5483	3.5038	0.2112	0.0613	1.7287	3.1435
Slovakia	280277	1.4790	1.4288	-0.0003	2.4869	-2.2877	0.8983	2.6426	3.4197	2.6432	5.3261	-0.4907	-0.5904	0.3906	1.0564	1.8419	-0.0622	-0.6643	-0.8334
Slovenia	280528	1.4763	1.4316	0.0017	2.5048	-2.3234	0.9161	2.6716	3.4426	2.6899	5.3374	-0.3643	-0.6492	0.2133	1.0067	1.8378	-0.0484	-0.7197	-0.8742
Somalia	280083	1.2513	1.2250	-0.0050	2.7029	-2.1181	1.1417	2.6804	1.1243	0.7830	1.3502	2.7056	-0.7685	-1.7061	0.4153	1.0595	-0.0835	1.0006	0.4782
South Africa	280116	1.0873	1.1041	0.0035	2.8600	-2.0931	1.2781	2.7838	0.8539	-0.3666	-0.3569	3.1047	-0.4374	-1.5619	0.5739	0.5407	-0.2378	2.6299	1.1538
Spain	279860	1.4609	1.4269	0.0008	2.5851	-2.3503	0.9752	2.7316	3.2859	2.6007	5.1425	0.0508	-1.0079	-1.1389	0.9141	1.8379	-0.1365	-0.6940	-1.1818
Sri Lanka	280479	1.5270	1.2770	0.0038	1.9651	-1.3498	0.6244	1.9035	2.7024	1.9835	4.0112	0.7101	-0.2078	-0.1438	.	0.2706	1.2017	0.2361	2.5251
Sudan	280295	1.2890	1.2581	-0.0079	2.6922	-2.1647	1.1035	2.6987	1.4486	1.0985	2.0462	2.5013	-0.8260	-1.6401	0.4083	1.2027	-0.0380	0.6146	0.3602
Sweden	279868	1.4807	1.4345	-0.0004	2.4825	-2.3150	0.8985	2.6545	3.4770	2.7411	5.4288	-0.8639	-0.5399	-0.1449	1.1268	1.8452	-0.0907	-0.5984	-0.9007
Switzerland	279687	1.4725	1.4339	0.0005	2.5516	-2.3562	0.9398	2.7034	3.4116	2.6844	5.3220	-0.3398	-0.8596	-0.6783	0.9749	1.8583	-0.0773	-0.7316	-0.9907
Syria	280422	1.4502	1.3937	0.0051	2.5688	-2.2826	0.9271	2.6393	3.0564	2.3381	4.5831	1.3653	-1.0023	-1.1844	0.3429	1.7133	0.2192	-0.8494	0.1740
Taiwan	279869	1.7061	1.0986	-0.0004	-0.4626	-0.7429	-0.5762	-1.0006	2.6008	1.8754	3.6145	0.6709	1.2175	0.5576	3.5189	0.2095	0.0433	1.7490	3.1711
Tanzania	280290	1.1119	1.1198	-0.0030	2.8429	-2.0772	1.2594	2.7774	0.5440	-0.3223	-0.2723	3.0333	-0.4826	-1.5616	0.5673	0.6208	-0.2149	2.3929	1.0618
Thailand	280528	1.6823	1.1165	-0.0045	.	-0.8261	-0.1235	-0.6349	2.5731	1.8362	3.6266	0.6884	1.0145	0.4505	3.1545	0.2100	0.2050	1.5605	3.0319
Togo	280771	1.0779	1.0995	0.0005	2.8982	-2.0840	1.2893	2.8114	-0.8671	0.1368	0.1557	3.1480	-0.4506	-1.5830	0.5769	0.5314	-0.2721	2.6863	1.1184
Tunisia	279538	1.3788	1.3459	-0.0026	2.6530	-2.2807	1.0424	2.7307	2.2457	1.8471	3.7188	1.7767	-0.9784	-1.6338	0.5710	1.5424	-0.0731	-0.2270	-0.4931
Turkey	280123	1.4685	1.3925	0.0099	2.4372	-2.2147	0.8538	2.5275	3.1478	2.3893	4.7025	1.1003	-0.8920	-0.9338	0.3876	1.6868	0.2865	-0.8057	0.5101
Uganda	280348	1.0970	1.1090	0.0003	2.8601	-2.0737	1.2681	2.7799	0.3004	-0.3921	.	3.0997	-0.4533	-1.5641	0.5689	0.5710	-0.2279	2.5384	1.1376
Ukraine	279880	1.4808	1.4266	0.0002	2.4481	-2.2903	0.8723	2.6150	3.4306	2.6922	5.3240	-0.5834	-0.4554	0.7741	1.1052	1.8237	-0.0530	-0.6127	-0.7477
United Kingdom	279749	1.4759	1.4370	-0.0003	2.5346	-2.3472	0.9282	2.6977	3.4630	2.7298	5.4063	-0.7857	-0.8809	-0.5671	1.0547	1.8641	-0.0883	-0.6526	-0.9639
USA	279779	1.4719	1.4305	0.0000	2.5395	-2.3371	0.9326	2.6917	3.3982	2.6681	5.2798	-0.4029	-0.8770	-0.6336	0.9620	1.8463	-0.0619	-0.6946	-0.8758
Venezuela	280814	1.4915	1.3521	0.0008	1.9574	-1.8645	0.6196	2.1417	3.1038	2.4384	4.6651	0.0565	-0.3953	-0.4805	1.4171	1.4663	-0.6940	0.5949	0.0426
Vietnam	280420	1.7005	1.1012	-0.0015	0.0499	-0.7923	-0.2485	-0.9717	2.5725	1.8304	3.6017	0.6872	1.1445	0.5091	3.4577	0.2026	0.1015	1.6957	3.1126
Wes tIndies	280190	1.1325	1.1377	-0.0109	2.8319	-2.1080	1.2393	2.7852	-0.1455	0.1793	0.7391	2.6771	-0.4915	-1.4536	0.6379	0.6967	-0.2427	2.2651	0.8631
Yemen	280077	1.4062	1.3537	-0.0007	2.5924	-2.2100	0.9918	2.6354	2.5986	1.9135	3.7773	2.0059	-1.0020	-1.5433	0.2658	1.5765	0.1185	-0.5371	0.0833
Zambia	280143	1.0824	1.1011	0.0016	2.8899	-2.0723	1.2912	2.8033	0.3467	-0.5525	-0.3864	3.1346	-0.4346	-1.5605	0.5741	0.5294	-0.2531	2.6679	1.1480
Zimbabwe	280045	1.0829	1.1017	0.0012	2.8848	-2.0831	1.2879	2.8031	.	-0.5036	-0.3879	3.1330	-0.4365	-1.5693	0.5708	0.5332	-0.2479	2.6550	1.1493
HGDP-Adygei	279515	1.4789	1.3976	0.0068	2.3934	-2.2187	0.8135	2.5057	3.2713	2.5180	4.8885	0.6211	-0.7679	-0.5269	0.5746	1.6931	0.2580	-0.7339	0.5000
HGDP-Balochi	279516	1.4769	1.3615	0.0226	2.3743	-1.9772	0.8004	2.4066	3.0038	2.2132	4.4288	0.7698	-0.6657	-0.4437	-0.1655	1.2858	0.7439	-0.4171	1.7530
HGDP-Bantu Kenya	279285	1.1026	1.1147	0.0030	2.8743	-2.0843	1.2705	2.7839	0.3428	-0.3446	-0.5463	3.1253	-0.4642	-1.5837	0.5822	0.5727	-0.2256	2.5021	1.1142
HGDP-Bantu South Africa	279625	1.0799	1.1037	0.0090	2.8859	-2.0960	1.2948	2.8453	0.6803	-0.3793	-0.3909	3.1415	-0.4017	-1.5631	0.5588	0.5158	-0.2513	2.6985	1.1726
HGDP-Basque	279875	1.4684	1.4429	0.0095	2.5972	-2.3727	0.9781	2.7692	3.4416	2.7675	5.3599	-0.2302	-1.0491	-1.2372	0.9976	1.8836	-0.1968	-0.6983	-1.4219
HGDP-Bedouin	279800	1.4144	1.3761	0.0163	2.6110	-2.2772	1.0003	2.6972	2.7074	2.0436	4.0505	1.9111	-1.0454	-1.5424	0.3084	1.6531	0.1076	-0.6773	-0.0259
HGDP-Bergamo Italian	280217	1.4658	1.4341	0.0074	2.6198	-2.3665	0.9812	2.7454	3.3870	2.6407	5.2241	0.2646	-1.0032	-1.0785	0.8357	1.8714	-0.0766	-0.8700	-1.1081
HGDP-Biaka	279262	1.0828	1.1105	0.0282	2.8802	-2.0636	1.3229	2.8088	0.4550	-0.1671	-0.4283	3.1235	-0.4072	-1.5369	0.5960	0.5302	-0.2328	2.6970	1.2274
HGDP-Bougainville	280141	1.5788	1.1830	0.0474	1.1296	-0.6066	0.9063	0.5580	2.2631	1.6093	3.3704	0.8664	0.5100	0.0595	1.2722	0.1511	0.5757	1.2292	2.5382
HGDP-Brahui	279626	1.4769	1.3591	0.0140	2.3906	-1.9811	0.8097	2.4245	2.9902	2.2446	4.4214	0.8017	-0.6770	-0.4727	-0.2142	1.2960	0.7480	-0.4364	1.7625
HGDP-Burusho	279657	1.5224	1.3181	0.0021	1.8897	-1.6979	0.5252	2.0290	3.0042	2.2816	4.4155	0.3976	-0.2970	-0.0500	0.4819	0.9643	0.7312	-0.0024	2.0350
HGDP-Cambodian	279557	1.6756	1.1217	0.0003	0.7461	-0.8328	0.0188	-0.5593	2.5992	1.9017	3.5876	0.6945	0.9873	0.4527	3.1040	0.1945	0.2547	1.5423	3.0148
HGDP-Colombian	280041	1.6204	1.2447	0.0929	0.1646	-0.6992	-0.3901	0.5144	3.2644	2.4542	4.2551	-0.6068	1.0257	1.1023	2.8469	0.6944	-2.1177	3.5659	2.8067
HGDP-Dai	279403	1.7012	1.1014	0.0037	0.3477	-0.8072	-0.0470	-0.9852	2.5611	1.8951	3.5777	0.6900	1.1471	0.5544	3.5416	0.1608	0.1333	1.6824	3.1454
HGDP-Daur	279548	1.6903	1.1218	0.0060	-0.8257	-0.3164	-0.9552	-0.5857	2.6971	1.9567	3.7057	0.5663	1.3860	0.6879	3.3871	0.3226	-0.0903	1.7895	3.1285
HGDP-Druze	280117	1.4452	1.4025	0.0154	2.6232	-2.3226	0.9720	2.6977	3.0929	2.3891	4.5900	1.4973	-1.0610	-1.3108	0.3202	1.7484	0.1904	-0.9251	-0.0182
HGDP-French	279551	1.4715	1.4354	0.0023	2.5656	-2.3526	0.9569	2.7227	3.4425	2.7060	5.3275	-0.3489	-0.9055	-0.7846	0.9820	1.8567	-0.0977	-0.7172	-1.0591
HGDP-Han	279611	1.7082	1.0978	0.0030	-0.4653	-0.7413	-0.5750	-1.0187	2.6327	1.8809	3.6068	0.6791	1.2640	0.5887	3.5742	0.1886	0.0426	1.7937	3.2210
HGDP-Hazara	279572	1.5875	1.2473	-0.0045	0.7737	-1.2469	-0.0889	1.0028	2.9172	2.1434	4.2296	0.4317	0.3795	0.2250	1.8164	0.8786	0.2307	0.6395	2.1617
HGDP-Hezhen	279788	1.6940	1.1158	0.0045	-0.8637	-0.3191	-0.9713	-0.6404	2.6736	1.9009	3.6568	0.5680	1.3955	0.6893	3.3725	0.2920	-0.0780	1.8304	3.2027
HGDP-Japanese	279358	1.7036	1.1026	0.0045	-0.8048	0.7651	-0.8244	-0.8693	2.6133	1.8922	3.6109	0.6707	1.3134	0.6131	3.3558	0.1987	-0.0129	1.8267	3.2206
HGDP-Kalash	279547	1.4971	1.3589	0.0186	2.2247	-1.9639	0.7127	2.3101	3.1114	2.3543	4.6113	0.2548	-0.5169	-0.0945	0.2147	1.2350	0.7342	-0.2575	1.8521
HGDP-Karitiana	280176	1.6287	1.2500	0.1120	0.1270	-0.6773	-0.4305	0.4592	3.2778	2.4580	4.3107	-0.6873	1.0645	1.1880	2.8805	0.6415	-2.1667	3.6273	2.8354
HGDP-Lahu	279959	1.6949	1.1084	0.0109	0.0979	-0.8093	-0.3560	-0.6764	2.6338	1.8896	3.5948	0.7225	1.1848	0.5191	3.5226	0.2069	0.1128	1.7154	3.1809
HGDP-Makrani	279673	1.4627	1.3563	0.0169	2.4317	-2.0264	0.8355	2.4590	2.9397	2.1790	4.3007	0.9137	-0.7012	-0.5428	-0.1832	1.3166	0.6994	-0.3854	1.7195
HGDP-Mandenka	279508	1.0841	1.1067	0.0068	2.9049	-2.1053	1.2941	2.8330	-0.6891	0.3404	0.1794	3.1884	-0.4369	-1.6259	0.5776	0.5240	-0.2766	2.6812	1.0796
